0x11,Erro durante alocacao da lista.
0x21,Erro durante alocacao da fila.
0x22,Erro ao desenfileirar item. Fila vazia.
0x23,Erro durante alocacao de no da fila.
0x24,Erro ao alocar o vetor da fila.
0x25,Erro ao enfileirar em fila cheia.
0x26,Erro ao desenfileirar em fila vazia.
0x31,Erro durante alocacao da pilha.
0x34,Erro ao alocar o vetor da pilha.
0x36,Erro ao desempilhar em pilha vazia.
0x41,Erro durante alocacao da fila com prioridade.
0x42,Erro ao desenfileirar item. Fila com prioridade vazia.
0x43,Erro durante alocacao de no da fila de prioridade.
0x44,Erro ao alocar o heap da fila com prioridade.
0x61,Erro durante alocacao da matriz.
0x62,Erro durante alocacao das linhas da matriz.
0x63,Erro durante alocacao das colunas da matriz.
